id,query,metric,hits,sessions
34886894,чехол на айфон 6,pdp_view,1,1
143231007,чай,pdp_view,1,1
145760797,трусики памперс 6,pdp_view,4,4
148346680,развивающие карточки,pdp_view,3,2
138485095,маринованный лимон,pdp_view,1,1
27914673,pedigree,pdp_view,10,4
142721388,гирлянда,pdp_view,4,2
137877810,мебель для кукол,pdp_view,66,37
140943321,ручка шариковая,pdp_view,22,21
144068131,термокружка mayer boch,pdp_view,10,3
4732021,тони бьюзен,pdp_view,8,7
27708693,настольная игра,pdp_view,14,6
143412697,мир деревянных игрушек,pdp_view,6,4
4623439,уолт дисней,pdp_view,4,1
138453241,мыловарение,pdp_view,20,8
141811315,сумка женская,pdp_view,1,1
143081583,санки,pdp_view,14,6
144713967,аутизм,pdp_view,14,9
137717656,детское постельное белье,pdp_view,11,10
140377753,консервы продукты,pdp_view,1,1
32207742,muumi,pdp_view,15,12
146500729,многоразовые подгузники,pdp_view,2,2
145123182,fifa 2018,pdp_view,4,4
140541202,масло моторное elf 5,pdp_view,2,1
27826018,форма для мыла,pdp_view,8,2
32648005,ящик для инструментов,pdp_view,16,8
147420333,ботинки мужские зима,pdp_view,1,1
142055207,росмэн энциклопедия,pdp_view,7,3
148411911,для дизайнера,pdp_view,2,1
34763278,жевательная резинка лав из,pdp_view,2,2
140666766,лас играс,pdp_view,1,1
147740921,люстры,pdp_view,2,2
147642607,экслибриум,pdp_view,4,4
139754320,салатники,pdp_view,1,1
144104025,levante,pdp_view,1,1
142317345,luminarc,pdp_view,8,4
146148883,раскраска а4,pdp_view,1,1
33965079,тетрадь для словарных слов,pdp_view,1,1
7980346,для салатов,pdp_view,5,1
29484893,ножи fiskars,pdp_view,19,2
142278198,подарочные пакеты с новым годом,pdp_view,1,1
136425027,большая энциклопедия охоты,pdp_view,1,1
140825525,подгузники newborn,pdp_view,1,1
35003550,томик,pdp_view,13,8
147579815,гирлянды,pdp_view,5,5
137903538,mondibon,pdp_view,1,1
147195981,егэ 2019 химия,pdp_view,4,4
143432545,терка,pdp_view,3,2
147459406,тоник для лица,pdp_view,1,1
27607169,русский язык справочник 7 класс,pdp_view,1,1
145740006,карнитин,pdp_view,1,1
138611643,кукла пупс,pdp_view,2,1
135450271,крем для рук,pdp_view,29,6
19381453,bruder,pdp_view,48,37
147032033,angry birds,pdp_view,5,5
146711755,божья коровка,pdp_view,1,1
146500726,canga care,pdp_view,1,1
29817767,наполнитель для кошачьего туалета,pdp_view,12,5
142479195,крем морщин,pdp_view,1,1
147191635,елена бортникова,pdp_view,13,10
141021031,розмарин,pdp_view,1,1
138554554,муфта на коляску,pdp_view,1,1
147635520,брюки для девочки  122,pdp_view,1,1
32379714,антенна комнатная,pdp_view,2,2
141378030,lassie,pdp_view,2,2
144775607,мягкие игрушки,pdp_view,10,8
138152283,вишня в шоколаде,pdp_view,8,3
35094721,thua,pdp_view,1,1
140832511,детская зубная паста,pdp_view,15,8
143580541,селф терапия разбуди внутреннего ребенка,pdp_view,1,1
141189191,тюк тюк,pdp_view,4,3
135757840,протеиновое печенье,pdp_view,3,3
138814552,пазл,pdp_view,9,6
32022514,блокнот для высокоэффективных,pdp_view,2,1
140285123,часы детские,pdp_view,1,1
140367646,для мытья полов,pdp_view,5,5
138297934,138297934,pdp_view,7,6
